"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"285","X20","2022-04-17","Pre-Lay","X",0,0,-1.52941176470588,0,NA,NA,NA
"286","X21","2022-04-17","Pre-Lay","X",0,0,-1.52941176470588,0,NA,NA,NA
"287","X22","2022-04-17","Incubation","X",1,0,-0.529411764705882,0,NA,NA,NA
"288","MW02","2022-04-17",NA,"M",0,0,0,0,NA,NA,NA
"289","Z09","2022-04-17","Incubation","Z",4,0,2.21428571428571,0,NA,NA,NA
"290","X18","2022-04-17","Incubation","X",4,0,2.47058823529412,0,NA,NA,NA
"291","MW06","2022-04-17",NA,"M",0,0,0,0,NA,NA,NA
"292","M03","2022-04-17",NA,"M",0,0,0,0,NA,NA,NA
"293","MW01","2022-04-17",NA,"M",0,0,0,0,NA,NA,NA
"294","Z46","2022-04-17",NA,"Z",0,0,-1.78571428571429,0,NA,NA,NA
"295","Z30","2022-04-18","Pre-Lay","Z",0,0,-2.4047619047619,0,NA,NA,NA
"296","Y27","2022-04-18","Incubation","Y",1,0,-1.05714285714286,0,NA,NA,NA
"297","Z15","2022-04-18","Incubation","Z",5,0,2.5952380952381,0,NA,NA,NA
"298","Y15","2022-04-18",NA,"Y",0,0,-2.05714285714286,0,NA,NA,NA
"299","Z24","2022-04-18","Incubation","Z",2,0,-0.404761904761905,0,NA,NA,NA
"300","Z14","2022-04-18","Incubation","Z",4,0,1.5952380952381,0,NA,NA,NA
