"","site","date","phase"
"766","Y",2023-06-20,"Fledge"
"767","Y",2023-06-21,"Fledge"
"768","Y",2023-06-22,"Fledge"
"769","Y",2023-06-23,"Fledge"
"770","Y",2023-06-24,"Fledge"
"771","Y",2023-06-25,"Fledge"
"772","Y",2023-06-26,"Fledge"
"773","Y",2023-06-27,"Fledge"
"774","Y",2023-06-28,"Fledge"
"775","Y",2023-06-29,"Fledge"
"776","Y",2023-06-30,"Fledge"
"777","Y",2023-07-01,"Fledge"
"778","Y",2023-07-02,"Fledge"
"779","Y",2023-07-03,"Fledge"
"780","Y",2023-07-04,"Fledge"
"781","Z",2022-03-29,"Pre-Lay"
"782","Z",2022-03-30,"Pre-Lay"
"783","Z",2022-03-31,"Pre-Lay"
"784","Z",2022-04-01,"Pre-Lay"
"785","Z",2022-04-02,"Pre-Lay"
"786","Z",2022-04-03,"Pre-Lay"
"787","Z",2022-04-04,"Pre-Lay"
"788","Z",2022-04-05,"Pre-Lay"
"789","Z",2022-04-06,"Pre-Lay"
"790","Z",2022-04-07,"Pre-Lay"
"791","Z",2022-04-08,"Pre-Lay"
